"id","age","gender","education","endline_vaccine_attitude","endline_vaccination_status","treatment"
940,21,"Non-binary","Graduate Degree","Excellent","Yes","control group"
941,39,"Female","Associate Degree","Good","Yes","emotions"
942,54,"Female","Graduate Degree","Okay","Yes","control group"
943,57,"Non-binary","Bachelor's Degree","Bad","Yes","control group"
944,45,"Female","Associate Degree","Terrible","Yes","reason"
945,21,"Female","Associate Degree","Terrible","No","reason"
946,56,"Male","Bachelor's Degree","Bad","Yes","control group"
947,67,"Male","High School","Good","Yes","reason"
948,80,"Male","Graduate Degree","Okay","Yes","reason"
949,30,"Female","Graduate Degree","Excellent","No","reason"
950,49,"Male","Graduate Degree","Bad","No","emotions"
951,64,"Female","Associate Degree","Good","Yes","control group"
952,38,"Female","Associate Degree","Bad","Yes","control group"
953,50,"Male","Associate Degree","Good","No","control group"
956,43,"Male","Associate Degree","Excellent","Yes","reason"
957,59,"Female","High School","Good","Yes","reason"
958,48,"Male","Graduate Degree","Terrible","Yes","control group"
959,31,"Male","Bachelor's Degree","Good","No","emotions"
960,18,"Male","Associate Degree","Terrible","Yes","reason"
961,24,"Male","Associate Degree","Terrible","No","reason"
962,40,"Male","Graduate Degree","Bad","Yes","control group"
963,18,"Non-binary","High School","Okay","Yes","reason"
964,80,"Female","Bachelor's Degree","Excellent","Yes","reason"
965,18,"Female","High School","Bad","Yes","control group"
966,18,"Male","Associate Degree","Good","Yes","reason"
967,69,"Male","Bachelor's Degree","Okay","Yes","control group"
970,33,"Female","Bachelor's Degree","Good","Yes","reason"
971,49,"Female","High School","Excellent","Yes","emotions"
972,58,"Non-binary","Bachelor's Degree","Good","Yes","emotions"
974,26,"Male","Associate Degree","Excellent","Yes","emotions"
975,18,"Female","Bachelor's Degree","Good","Yes","control group"
976,21,"Non-binary","High School","Bad","Yes","emotions"
977,48,"Female","Associate Degree","Bad","Yes","reason"
978,50,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
979,80,"Non-binary","Graduate Degree","Terrible","Yes","emotions"
980,41,"Non-binary","Bachelor's Degree","Excellent","No","reason"
981,49,"Male","Bachelor's Degree","Okay","Yes","control group"
982,41,"Female","Associate Degree","Terrible","Yes","control group"
983,30,"Male","Bachelor's Degree","Okay","Yes","control group"
984,55,"Non-binary","Bachelor's Degree","Excellent","Yes","reason"
985,49,"Female","Graduate Degree","Bad","Yes","reason"
986,43,"Male","Bachelor's Degree","Bad","Yes","control group"
988,39,"Male","Associate Degree","Okay","No","emotions"
989,56,"Male","Graduate Degree","Terrible","No","emotions"
990,54,"Non-binary","Associate Degree","Good","Yes","emotions"
991,30,"Female","Associate Degree","Bad","Yes","reason"
992,27,"Non-binary","High School","Excellent","Yes","control group"
993,50,"Female","Bachelor's Degree","Okay","Yes","reason"
994,61,"Non-binary","High School","Excellent","Yes","reason"
995,42,"Non-binary","Associate Degree","Terrible","Yes","control group"
996,34,"Female","Associate Degree","Excellent","No","reason"
997,22,"Female","Associate Degree","Okay","No","emotions"
999,18,"Female","Associate Degree","Good","No","reason"
1000,26,"Male","Bachelor's Degree","Terrible","Yes","control group"
1001,63,"Female","Graduate Degree","Good","Yes","emotions"
1002,62,"Female","High School","Okay","No","control group"
1003,23,"Female","Associate Degree","Excellent","Yes","reason"
1004,44,"Male","Associate Degree","Bad","Yes","reason"
1005,41,"Non-binary","Associate Degree","Terrible","No","emotions"
1006,18,"Non-binary","Bachelor's Degree","Good","No","emotions"
1007,56,"Male","High School","Bad","Yes","reason"
1008,18,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
1009,18,"Female","Associate Degree","Good","No","control group"
1010,60,"Male","High School","Excellent","Yes","reason"
1011,29,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
1012,36,"Male","Bachelor's Degree","Bad","Yes","emotions"
1013,18,"Male","High School","Excellent","Yes","emotions"
1015,47,"Male","Graduate Degree","Okay","Yes","control group"
1017,28,"Female","Graduate Degree","Okay","Yes","control group"
1018,18,"Female","Associate Degree","Bad","Yes","emotions"
1019,18,"Female","Bachelor's Degree","Excellent","Yes","control group"
1020,80,"Male","Associate Degree","Okay","Yes","reason"
1021,33,"Male","High School","Excellent","No","control group"
1022,55,"Non-binary","Graduate Degree","Okay","Yes","control group"
1023,56,"Female","Bachelor's Degree","Bad","Yes","reason"
1024,55,"Male","Bachelor's Degree","Terrible","Yes","reason"
1025,46,"Male","Graduate Degree","Good","Yes","emotions"
1026,18,"Male","Graduate Degree","Good","Yes","reason"
1027,20,"Male","Bachelor's Degree","Okay","Yes","emotions"
1028,55,"Female","Bachelor's Degree","Good","No","reason"
1029,18,"Male","Associate Degree","Okay","No","control group"
1030,51,"Non-binary","High School","Terrible","No","reason"
1031,29,"Non-binary","High School","Okay","No","control group"
1032,32,"Female","Graduate Degree","Bad","No","reason"
1033,24,"Female","Graduate Degree","Excellent","Yes","emotions"
1034,35,"Female","Bachelor's Degree","Bad","Yes","reason"
1035,58,"Male","Associate Degree","Excellent","Yes","emotions"
1036,49,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1037,35,"Female","Graduate Degree","Excellent","No","emotions"
1038,57,"Male","Graduate Degree","Bad","No","control group"
1039,73,"Male","Associate Degree","Good","No","emotions"
1041,49,"Male","Bachelor's Degree","Okay","No","reason"
1042,46,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
1043,20,"Female","High School","Excellent","Yes","reason"
1044,21,"Male","Bachelor's Degree","Terrible","No","control group"
1045,78,"Male","Bachelor's Degree","Good","No","reason"
1046,58,"Female","Associate Degree","Good","Yes","reason"
1048,43,"Male","Graduate Degree","Good","Yes","reason"
1049,50,"Male","Associate Degree","Excellent","Yes","emotions"
1051,41,"Non-binary","Graduate Degree","Excellent","No","emotions"
1052,44,"Male","High School","Good","Yes","emotions"
1053,20,"Non-binary","Bachelor's Degree","Okay","No","emotions"
1054,80,"Male","Associate Degree","Excellent","No","reason"
1055,56,"Non-binary","Graduate Degree","Bad","Yes","reason"
1056,35,"Female","Associate Degree","Okay","Yes","emotions"
1057,64,"Male","Graduate Degree","Excellent","No","emotions"
1058,27,"Male","Associate Degree","Bad","Yes","emotions"
1059,74,"Female","Associate Degree","Okay","Yes","reason"
1060,32,"Male","Bachelor's Degree","Terrible","Yes","emotions"
1061,18,"Male","Bachelor's Degree","Terrible","Yes","emotions"
1062,67,"Male","Associate Degree","Good","Yes","control group"
1063,63,"Female","Bachelor's Degree","Good","Yes","reason"
1064,25,"Female","Bachelor's Degree","Bad","No","reason"
1065,18,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1066,18,"Female","Graduate Degree","Good","Yes","reason"
1067,35,"Non-binary","Graduate Degree","Excellent","Yes","reason"
1069,24,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1070,43,"Female","High School","Good","Yes","reason"
1071,57,"Female","Bachelor's Degree","Okay","No","control group"
1072,24,"Female","Associate Degree","Good","Yes","control group"
1073,38,"Female","Bachelor's Degree","Okay","Yes","reason"
1074,45,"Non-binary","High School","Terrible","No","control group"
1076,21,"Non-binary","Bachelor's Degree","Good","Yes","control group"
1077,18,"Non-binary","High School","Terrible","No","emotions"
1078,18,"Female","Associate Degree","Excellent","No","control group"
1079,51,"Non-binary","Associate Degree","Bad","Yes","control group"
1080,39,"Female","Associate Degree","Good","No","reason"
1081,55,"Female","Associate Degree","Good","No","control group"
1082,37,"Female","High School","Okay","No","emotions"
1083,48,"Non-binary","Bachelor's Degree","Good","No","reason"
1084,44,"Female","Associate Degree","Bad","Yes","reason"
1085,40,"Male","Graduate Degree","Okay","No","control group"
1086,28,"Female","High School","Good","Yes","emotions"
1088,32,"Female","High School","Terrible","Yes","reason"
1089,53,"Female","Bachelor's Degree","Excellent","Yes","reason"
1090,43,"Non-binary","Bachelor's Degree","Good","Yes","reason"
1091,76,"Female","Bachelor's Degree","Excellent","Yes","reason"
1092,54,"Male","Associate Degree","Excellent","Yes","reason"
1093,33,"Male","Associate Degree","Excellent","Yes","control group"
1094,40,"Male","Graduate Degree","Excellent","No","emotions"
1095,37,"Male","Associate Degree","Excellent","Yes","control group"
1096,18,"Male","Bachelor's Degree","Bad","No","reason"
1097,74,"Male","Bachelor's Degree","Okay","Yes","reason"
1098,61,"Male","Bachelor's Degree","Bad","Yes","control group"
1099,25,"Male","Associate Degree","Good","Yes","emotions"
1100,48,"Male","Associate Degree","Good","Yes","emotions"
1101,45,"Female","High School","Good","Yes","emotions"
1102,18,"Male","Graduate Degree","Okay","Yes","control group"
1103,70,"Female","Associate Degree","Okay","Yes","emotions"
1104,35,"Male","Bachelor's Degree","Good","Yes","emotions"
1105,44,"Female","High School","Excellent","Yes","emotions"
1106,48,"Male","Graduate Degree","Good","No","emotions"
1107,20,"Non-binary","Graduate Degree","Good","No","control group"
1108,18,"Non-binary","Associate Degree","Excellent","Yes","emotions"
1109,39,"Female","High School","Okay","Yes","control group"
1110,52,"Male","Bachelor's Degree","Good","Yes","reason"
1111,41,"Non-binary","Graduate Degree","Okay","Yes","control group"
1112,54,"Female","High School","Good","No","emotions"
1113,47,"Male","High School","Good","Yes","control group"
1114,51,"Non-binary","Associate Degree","Terrible","Yes","control group"
1115,18,"Female","Bachelor's Degree","Terrible","Yes","reason"
1116,54,"Male","Associate Degree","Okay","Yes","reason"
1117,24,"Male","Bachelor's Degree","Good","No","emotions"
1118,31,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1119,38,"Non-binary","Bachelor's Degree","Okay","No","control group"
1120,18,"Female","Associate Degree","Okay","Yes","reason"
1121,38,"Female","Bachelor's Degree","Good","Yes","reason"
1122,31,"Non-binary","Bachelor's Degree","Terrible","Yes","emotions"
1123,26,"Male","Bachelor's Degree","Excellent","Yes","emotions"
1124,29,"Male","Associate Degree","Excellent","Yes","emotions"
1125,65,"Female","Graduate Degree","Bad","No","control group"
1126,18,"Male","Graduate Degree","Bad","No","reason"
1127,36,"Non-binary","Associate Degree","Bad","Yes","reason"
1128,18,"Male","Bachelor's Degree","Good","Yes","reason"
1129,27,"Female","Associate Degree","Good","No","control group"
1130,30,"Male","Bachelor's Degree","Excellent","Yes","emotions"
1131,71,"Female","Bachelor's Degree","Bad","No","control group"
1132,21,"Non-binary","Associate Degree","Excellent","No","emotions"
1133,23,"Male","Graduate Degree","Bad","Yes","reason"
1134,18,"Male","Graduate Degree","Good","Yes","reason"
1135,44,"Male","Bachelor's Degree","Bad","Yes","emotions"
1136,63,"Male","Bachelor's Degree","Terrible","Yes","control group"
1137,18,"Male","Associate Degree","Bad","Yes","reason"
1138,31,"Male","Bachelor's Degree","Good","Yes","control group"
1139,67,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1141,54,"Female","Graduate Degree","Excellent","No","reason"
1142,48,"Non-binary","Associate Degree","Okay","Yes","reason"
1143,18,"Female","Graduate Degree","Excellent","Yes","reason"
1144,64,"Non-binary","Bachelor's Degree","Terrible","No","emotions"
1145,56,"Male","Bachelor's Degree","Okay","Yes","emotions"
1146,30,"Female","Bachelor's Degree","Bad","Yes","reason"
1147,22,"Male","Bachelor's Degree","Good","Yes","control group"
1148,32,"Female","High School","Terrible","Yes","control group"
1149,56,"Female","Graduate Degree","Good","Yes","control group"
1150,29,"Non-binary","Associate Degree","Excellent","Yes","reason"
1151,18,"Male","Bachelor's Degree","Terrible","Yes","emotions"
1152,37,"Female","High School","Okay","Yes","reason"
1153,55,"Female","High School","Okay","Yes","control group"
1154,18,"Female","Associate Degree","Okay","Yes","control group"
1156,18,"Female","Bachelor's Degree","Terrible","Yes","reason"
1157,42,"Non-binary","Bachelor's Degree","Good","No","reason"
1158,37,"Female","Bachelor's Degree","Okay","Yes","reason"
1159,39,"Female","Bachelor's Degree","Okay","Yes","reason"
1160,28,"Male","Bachelor's Degree","Bad","Yes","reason"
1161,26,"Female","Associate Degree","Excellent","Yes","reason"
1162,57,"Female","Associate Degree","Good","Yes","reason"
1163,42,"Male","Associate Degree","Good","Yes","control group"
1164,36,"Non-binary","Bachelor's Degree","Okay","No","reason"
1165,18,"Male","Bachelor's Degree","Good","Yes","emotions"
1166,18,"Non-binary","Associate Degree","Good","Yes","reason"
1167,55,"Non-binary","Associate Degree","Excellent","Yes","control group"
1168,32,"Male","Graduate Degree","Bad","No","reason"
1169,18,"Non-binary","Graduate Degree","Okay","Yes","control group"
1171,32,"Non-binary","Bachelor's Degree","Good","Yes","emotions"
1172,30,"Male","Associate Degree","Bad","No","control group"
1173,50,"Female","Graduate Degree","Okay","Yes","emotions"
1174,70,"Female","Associate Degree","Excellent","No","control group"
1175,60,"Male","High School","Good","Yes","reason"
1176,65,"Male","Associate Degree","Excellent","Yes","reason"
1177,33,"Male","Graduate Degree","Good","No","emotions"
1179,20,"Male","Associate Degree","Terrible","Yes","control group"
1180,37,"Male","Bachelor's Degree","Excellent","No","control group"
1181,80,"Female","Graduate Degree","Bad","Yes","control group"
1182,40,"Non-binary","High School","Bad","No","control group"
1183,34,"Female","High School","Bad","No","reason"
1185,55,"Female","Bachelor's Degree","Terrible","Yes","control group"
1186,80,"Female","Bachelor's Degree","Okay","Yes","emotions"
1187,48,"Non-binary","Graduate Degree","Okay","No","control group"
1188,35,"Female","Bachelor's Degree","Bad","Yes","emotions"
1190,24,"Female","Associate Degree","Okay","Yes","control group"
1191,63,"Female","Associate Degree","Terrible","No","control group"
1192,32,"Male","Bachelor's Degree","Excellent","Yes","reason"
1193,20,"Female","High School","Terrible","No","reason"
1195,18,"Male","Associate Degree","Okay","Yes","control group"
1197,40,"Female","Bachelor's Degree","Bad","No","emotions"
1198,31,"Non-binary","High School","Good","Yes","reason"
1199,18,"Non-binary","High School","Excellent","Yes","control group"
1200,27,"Female","Bachelor's Degree","Good","Yes","control group"
1201,18,"Non-binary","Bachelor's Degree","Good","No","control group"
1203,18,"Male","Bachelor's Degree","Okay","No","control group"
1204,18,"Male","High School","Bad","No","emotions"
1205,54,"Male","Graduate Degree","Okay","Yes","reason"
1206,58,"Female","High School","Excellent","Yes","reason"
1207,36,"Non-binary","Graduate Degree","Okay","No","control group"
1208,36,"Female","Associate Degree","Terrible","Yes","emotions"
1209,55,"Female","Bachelor's Degree","Bad","Yes","reason"
1210,68,"Non-binary","High School","Bad","Yes","reason"
1211,18,"Male","Associate Degree","Bad","Yes","reason"
1212,66,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1213,44,"Non-binary","Associate Degree","Terrible","Yes","emotions"
1214,33,"Male","Associate Degree","Terrible","Yes","control group"
1215,65,"Male","Graduate Degree","Good","Yes","reason"
1216,59,"Female","Bachelor's Degree","Okay","Yes","control group"
1217,66,"Male","Bachelor's Degree","Bad","No","control group"
1218,34,"Female","High School","Good","Yes","emotions"
1219,56,"Female","Associate Degree","Terrible","No","emotions"
1220,46,"Female","Associate Degree","Good","Yes","emotions"
1221,30,"Male","Bachelor's Degree","Excellent","No","control group"
1222,75,"Male","Bachelor's Degree","Bad","Yes","control group"
1223,43,"Female","High School","Good","Yes","reason"
1224,39,"Non-binary","Associate Degree","Good","Yes","reason"
1225,51,"Male","Graduate Degree","Bad","Yes","reason"
1226,48,"Female","High School","Okay","Yes","control group"
1228,39,"Female","Associate Degree","Bad","Yes","emotions"
1229,80,"Male","Associate Degree","Good","Yes","emotions"
1230,39,"Female","Associate Degree","Okay","Yes","reason"
1231,34,"Non-binary","Associate Degree","Good","Yes","control group"
1232,55,"Female","Bachelor's Degree","Terrible","No","reason"
1233,48,"Male","Graduate Degree","Good","Yes","emotions"
1235,18,"Non-binary","Graduate Degree","Excellent","Yes","reason"
1236,57,"Female","High School","Bad","No","control group"
1237,42,"Female","Bachelor's Degree","Terrible","No","emotions"
1238,50,"Female","Graduate Degree","Excellent","No","reason"
1239,34,"Non-binary","Associate Degree","Bad","No","control group"
1240,18,"Female","High School","Bad","Yes","emotions"
1241,41,"Non-binary","Associate Degree","Good","Yes","reason"
1242,80,"Non-binary","Associate Degree","Terrible","No","reason"
1243,18,"Female","Graduate Degree","Okay","Yes","reason"
1244,20,"Male","High School","Good","No","reason"
1245,18,"Female","High School","Okay","Yes","emotions"
1246,33,"Male","Graduate Degree","Terrible","Yes","control group"
1247,68,"Female","Bachelor's Degree","Excellent","No","emotions"
1248,37,"Male","Associate Degree","Excellent","No","emotions"
1249,35,"Non-binary","Associate Degree","Excellent","No","emotions"
1250,18,"Male","Graduate Degree","Excellent","Yes","reason"
1252,61,"Female","High School","Excellent","No","control group"
1253,80,"Female","High School","Excellent","No","emotions"
1254,66,"Female","Associate Degree","Bad","Yes","reason"
1256,30,"Female","Associate Degree","Excellent","No","reason"
1257,52,"Female","Associate Degree","Bad","Yes","reason"
1258,40,"Male","Graduate Degree","Okay","Yes","reason"
1259,46,"Male","High School","Good","Yes","control group"
1261,31,"Male","Bachelor's Degree","Good","Yes","control group"
1263,21,"Female","Bachelor's Degree","Terrible","Yes","reason"
1264,26,"Male","Graduate Degree","Terrible","Yes","emotions"
1265,32,"Non-binary","Bachelor's Degree","Terrible","No","emotions"
1266,40,"Female","Associate Degree","Bad","Yes","reason"
1267,53,"Non-binary","High School","Bad","Yes","emotions"
1268,30,"Female","Graduate Degree","Excellent","Yes","reason"
1269,23,"Non-binary","Bachelor's Degree","Excellent","No","emotions"
1271,60,"Female","Bachelor's Degree","Bad","No","emotions"
1272,54,"Female","Bachelor's Degree","Bad","No","reason"
1273,74,"Female","High School","Bad","No","control group"
1274,20,"Male","Associate Degree","Excellent","Yes","control group"
1275,80,"Non-binary","Associate Degree","Good","Yes","emotions"
1277,46,"Female","Graduate Degree","Excellent","Yes","emotions"
1278,52,"Male","Associate Degree","Okay","Yes","control group"
1279,41,"Non-binary","High School","Excellent","Yes","control group"
1280,38,"Non-binary","High School","Okay","Yes","control group"
1281,18,"Female","Bachelor's Degree","Bad","Yes","reason"
1282,55,"Female","Graduate Degree","Okay","Yes","control group"
1283,80,"Male","Associate Degree","Good","Yes","emotions"
1284,80,"Female","Associate Degree","Terrible","Yes","reason"
1285,43,"Non-binary","Bachelor's Degree","Excellent","No","emotions"
1286,38,"Male","Bachelor's Degree","Bad","Yes","emotions"
1287,44,"Male","Bachelor's Degree","Terrible","Yes","control group"
1288,63,"Non-binary","High School","Good","Yes","reason"
1290,48,"Non-binary","Associate Degree","Terrible","Yes","control group"
1291,62,"Male","High School","Okay","No","control group"
1293,50,"Male","Associate Degree","Excellent","No","emotions"
1294,64,"Male","Graduate Degree","Terrible","No","emotions"
1295,80,"Non-binary","Associate Degree","Excellent","Yes","emotions"
1296,39,"Male","Bachelor's Degree","Okay","Yes","reason"
1297,27,"Male","Bachelor's Degree","Terrible","Yes","reason"
1298,49,"Male","Bachelor's Degree","Good","Yes","control group"
1299,32,"Male","Bachelor's Degree","Good","Yes","emotions"
1300,53,"Female","Bachelor's Degree","Excellent","Yes","reason"
1301,47,"Female","Associate Degree","Okay","Yes","emotions"
1302,66,"Male","Associate Degree","Okay","Yes","control group"
1303,21,"Male","High School","Bad","Yes","reason"
1304,18,"Non-binary","High School","Excellent","Yes","reason"
1305,71,"Male","Bachelor's Degree","Bad","Yes","control group"
1307,22,"Non-binary","Associate Degree","Okay","Yes","control group"
1308,19,"Male","Graduate Degree","Okay","Yes","reason"
1309,29,"Male","High School","Bad","Yes","reason"
1310,52,"Male","Graduate Degree","Good","Yes","reason"
1311,29,"Female","High School","Good","Yes","emotions"
1312,67,"Male","Associate Degree","Bad","Yes","reason"
1313,45,"Female","Associate Degree","Bad","Yes","reason"
1314,44,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
1315,40,"Non-binary","Graduate Degree","Good","Yes","control group"
1316,34,"Non-binary","Graduate Degree","Terrible","Yes","emotions"
1317,37,"Female","Graduate Degree","Excellent","No","control group"
1318,63,"Non-binary","Graduate Degree","Okay","Yes","control group"
1319,18,"Male","High School","Excellent","No","emotions"
1321,33,"Non-binary","Associate Degree","Bad","Yes","control group"
1322,55,"Non-binary","High School","Good","No","emotions"
1323,39,"Male","Bachelor's Degree","Bad","Yes","emotions"
1324,18,"Non-binary","Bachelor's Degree","Okay","Yes","reason"
1325,47,"Female","Bachelor's Degree","Bad","Yes","control group"
1326,27,"Male","Bachelor's Degree","Okay","Yes","reason"
1328,23,"Non-binary","High School","Excellent","No","emotions"
1329,18,"Male","Graduate Degree","Bad","No","emotions"
1330,23,"Female","Graduate Degree","Good","Yes","emotions"
1332,23,"Female","Associate Degree","Excellent","Yes","emotions"
1333,35,"Non-binary","Bachelor's Degree","Terrible","Yes","emotions"
1334,28,"Male","High School","Excellent","No","emotions"
1335,32,"Non-binary","High School","Good","Yes","reason"
1336,47,"Female","Bachelor's Degree","Excellent","No","emotions"
1337,18,"Female","Bachelor's Degree","Okay","Yes","reason"
1338,55,"Female","High School","Terrible","No","control group"
1339,40,"Male","High School","Okay","Yes","reason"
1340,39,"Male","Associate Degree","Excellent","Yes","emotions"
1341,18,"Female","Associate Degree","Bad","Yes","emotions"
1342,34,"Male","High School","Bad","Yes","control group"
1343,29,"Male","Graduate Degree","Bad","Yes","emotions"
1344,57,"Male","High School","Okay","Yes","reason"
1346,65,"Non-binary","High School","Terrible","Yes","control group"
1347,18,"Female","Graduate Degree","Bad","Yes","reason"
1348,24,"Male","Associate Degree","Terrible","Yes","control group"
1349,38,"Female","Associate Degree","Good","No","control group"
1350,19,"Female","Associate Degree","Excellent","Yes","reason"
1351,18,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1352,56,"Female","Associate Degree","Bad","Yes","emotions"
1353,41,"Female","Bachelor's Degree","Good","Yes","emotions"
1354,52,"Female","Bachelor's Degree","Bad","Yes","reason"
1355,18,"Non-binary","Associate Degree","Okay","Yes","reason"
1356,33,"Male","High School","Good","Yes","reason"
1357,18,"Male","High School","Terrible","Yes","reason"
1358,23,"Female","High School","Bad","No","emotions"
1359,45,"Male","Bachelor's Degree","Good","Yes","reason"
1360,24,"Male","Graduate Degree","Bad","Yes","emotions"
1361,20,"Male","Associate Degree","Okay","Yes","reason"
1362,18,"Non-binary","Associate Degree","Terrible","Yes","control group"
1363,18,"Male","Associate Degree","Good","Yes","reason"
1364,23,"Male","Bachelor's Degree","Bad","Yes","reason"
1365,74,"Non-binary","Associate Degree","Good","No","control group"
1366,27,"Non-binary","Associate Degree","Excellent","Yes","emotions"
1367,18,"Non-binary","Bachelor's Degree","Good","Yes","control group"
1368,18,"Male","Associate Degree","Excellent","Yes","reason"
1369,37,"Male","Associate Degree","Terrible","Yes","control group"
1370,32,"Non-binary","Bachelor's Degree","Good","Yes","emotions"
1371,45,"Male","High School","Terrible","Yes","emotions"
1372,34,"Female","Associate Degree","Excellent","Yes","reason"
1373,57,"Male","High School","Excellent","No","emotions"
1374,54,"Female","Associate Degree","Bad","Yes","control group"
1375,61,"Female","Graduate Degree","Excellent","Yes","control group"
1376,45,"Non-binary","Bachelor's Degree","Bad","Yes","emotions"
1377,62,"Male","Bachelor's Degree","Terrible","Yes","emotions"
1378,38,"Non-binary","High School","Okay","No","reason"
1379,59,"Female","Graduate Degree","Excellent","No","control group"
1380,37,"Female","Graduate Degree","Good","Yes","emotions"
1381,26,"Non-binary","Associate Degree","Okay","Yes","control group"
1383,26,"Female","Bachelor's Degree","Good","Yes","emotions"
1384,25,"Non-binary","High School","Good","Yes","emotions"
1386,39,"Female","Graduate Degree","Good","Yes","reason"
1387,27,"Non-binary","High School","Bad","No","reason"
1389,70,"Non-binary","High School","Good","No","emotions"
1390,35,"Male","Bachelor's Degree","Bad","Yes","reason"
1391,18,"Non-binary","Associate Degree","Bad","Yes","reason"
1392,31,"Non-binary","High School","Good","Yes","reason"
1394,57,"Male","Associate Degree","Bad","Yes","emotions"
1395,38,"Male","Associate Degree","Bad","Yes","reason"
1396,42,"Non-binary","Graduate Degree","Good","Yes","reason"
1399,42,"Non-binary","Graduate Degree","Bad","Yes","reason"
1400,55,"Female","Bachelor's Degree","Excellent","Yes","reason"
1401,71,"Male","Graduate Degree","Excellent","No","emotions"
1402,44,"Female","Bachelor's Degree","Terrible","Yes","emotions"
1403,34,"Female","Associate Degree","Bad","Yes","control group"
1404,25,"Non-binary","Associate Degree","Good","Yes","control group"
1405,28,"Male","High School","Good","Yes","control group"
1406,22,"Male","Associate Degree","Terrible","No","emotions"
1408,18,"Non-binary","High School","Excellent","No","control group"
1409,18,"Female","High School","Okay","Yes","control group"
1411,62,"Non-binary","High School","Bad","Yes","control group"
1412,42,"Non-binary","Bachelor's Degree","Terrible","No","control group"
1413,30,"Female","High School","Bad","Yes","reason"
1414,53,"Female","Associate Degree","Bad","No","control group"
1415,33,"Male","Associate Degree","Bad","Yes","emotions"
1417,41,"Female","Associate Degree","Terrible","Yes","control group"
1418,62,"Male","Associate Degree","Okay","No","control group"
1419,66,"Female","Graduate Degree","Good","Yes","control group"
1420,66,"Female","Graduate Degree","Excellent","Yes","control group"
1421,60,"Male","Bachelor's Degree","Bad","Yes","control group"
1422,47,"Female","Associate Degree","Excellent","Yes","reason"
1423,78,"Female","High School","Okay","Yes","control group"
1424,80,"Non-binary","Associate Degree","Excellent","Yes","reason"
1425,67,"Non-binary","Associate Degree","Excellent","No","emotions"
1427,19,"Female","Graduate Degree","Excellent","Yes","reason"
1428,44,"Female","High School","Good","No","reason"
1429,29,"Non-binary","Graduate Degree","Excellent","Yes","reason"
1430,45,"Male","Associate Degree","Okay","Yes","control group"
1431,29,"Non-binary","Associate Degree","Okay","No","control group"
1432,58,"Non-binary","Bachelor's Degree","Good","Yes","reason"
1433,80,"Non-binary","Bachelor's Degree","Bad","Yes","control group"
1434,59,"Male","Bachelor's Degree","Okay","Yes","reason"
1435,55,"Non-binary","Associate Degree","Bad","No","reason"
1436,41,"Female","Graduate Degree","Okay","Yes","reason"
1437,80,"Non-binary","Associate Degree","Good","Yes","emotions"
1438,38,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
1439,68,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
1442,18,"Female","Associate Degree","Excellent","No","emotions"
1443,33,"Male","Bachelor's Degree","Okay","No","emotions"
1444,49,"Female","Graduate Degree","Good","No","reason"
1446,18,"Female","Associate Degree","Bad","Yes","reason"
1447,58,"Male","High School","Excellent","Yes","reason"
1448,18,"Female","High School","Good","Yes","reason"
1449,45,"Non-binary","Bachelor's Degree","Bad","Yes","control group"
1451,27,"Female","Bachelor's Degree","Bad","Yes","control group"
1452,41,"Female","Associate Degree","Excellent","No","control group"
1453,41,"Female","Associate Degree","Good","No","control group"
1454,45,"Male","Graduate Degree","Bad","No","control group"
1455,42,"Non-binary","Bachelor's Degree","Good","Yes","control group"
1456,29,"Male","Associate Degree","Good","Yes","control group"
1457,45,"Male","Bachelor's Degree","Good","Yes","reason"
1458,68,"Male","Graduate Degree","Excellent","Yes","control group"
1459,53,"Male","High School","Terrible","Yes","emotions"
1460,70,"Male","High School","Bad","No","reason"
1461,35,"Non-binary","Bachelor's Degree","Bad","No","emotions"
1462,52,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
1463,50,"Female","Bachelor's Degree","Excellent","Yes","reason"
1464,25,"Male","Graduate Degree","Good","No","emotions"
1465,24,"Male","Bachelor's Degree","Excellent","Yes","reason"
1466,77,"Male","Bachelor's Degree","Okay","No","control group"
1467,23,"Female","Bachelor's Degree","Excellent","Yes","emotions"
1468,59,"Non-binary","High School","Excellent","Yes","reason"
1469,35,"Male","High School","Terrible","Yes","emotions"
1470,18,"Female","Associate Degree","Terrible","Yes","control group"
1471,18,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
1472,18,"Non-binary","High School","Excellent","Yes","reason"
1473,18,"Female","High School","Bad","No","control group"
1474,22,"Male","Associate Degree","Good","No","control group"
1475,59,"Male","Associate Degree","Excellent","No","emotions"
