"id","age","gender","education","baseline_vaccine_attitude","baseline_vaccination_status"
946,56,"Male","Bachelor's Degree","Excellent","No"
947,67,"Male","High School","Terrible","Yes"
948,80,"Male","Graduate Degree","Excellent","Yes"
949,30,"Female","Graduate Degree","Good","No"
950,49,"Male","Graduate Degree","Okay","No"
951,64,"Female","Associate Degree","Terrible","Yes"
952,38,"Female","Associate Degree","Good","No"
953,50,"Male","Associate Degree","Bad","No"
954,44,"Female","Graduate Degree","Okay","No"
955,37,"Female","Associate Degree","Bad","No"
956,43,"Male","Associate Degree","Good","Yes"
957,59,"Female","High School","Good","No"
958,48,"Male","Graduate Degree","Okay","Yes"
959,31,"Male","Bachelor's Degree","Okay","No"
960,18,"Male","Associate Degree","Bad","Yes"
961,24,"Male","Associate Degree","Excellent","No"
962,40,"Male","Graduate Degree","Excellent","Yes"
963,18,"Non-binary","High School","Excellent","Yes"
964,80,"Female","Bachelor's Degree","Terrible","Yes"
965,18,"Female","High School","Terrible","Yes"
966,18,"Male","Associate Degree","Excellent","Yes"
967,69,"Male","Bachelor's Degree","Okay","Yes"
968,18,"Non-binary","Graduate Degree","Okay","No"
969,55,"Female","Associate Degree","Terrible","Yes"
970,33,"Female","Bachelor's Degree","Okay","Yes"
971,49,"Female","High School","Excellent","No"
972,58,"Non-binary","Bachelor's Degree","Okay","Yes"
973,21,"Non-binary","Associate Degree","Okay","No"
974,26,"Male","Associate Degree","Bad","Yes"
975,18,"Female","Bachelor's Degree","Okay","Yes"
976,21,"Non-binary","High School","Bad","No"
977,48,"Female","Associate Degree","Okay","Yes"
978,50,"Non-binary","Bachelor's Degree","Terrible","No"
979,80,"Non-binary","Graduate Degree","Good","Yes"
980,41,"Non-binary","Bachelor's Degree","Bad","No"
981,49,"Male","Bachelor's Degree","Excellent","Yes"
982,41,"Female","Associate Degree","Okay","Yes"
983,30,"Male","Bachelor's Degree","Okay","No"
984,55,"Non-binary","Bachelor's Degree","Okay","No"
985,49,"Female","Graduate Degree","Okay","No"
986,43,"Male","Bachelor's Degree","Good","Yes"
987,24,"Male","Graduate Degree","Okay","No"
988,39,"Male","Associate Degree","Good","No"
989,56,"Male","Graduate Degree","Terrible","No"
990,54,"Non-binary","Associate Degree","Excellent","Yes"
991,30,"Female","Associate Degree","Okay","Yes"
992,27,"Non-binary","High School","Bad","Yes"
993,50,"Female","Bachelor's Degree","Okay","No"
994,61,"Non-binary","High School","Good","Yes"
995,42,"Non-binary","Associate Degree","Okay","Yes"
996,34,"Female","Associate Degree","Bad","No"
997,22,"Female","Associate Degree","Terrible","No"
998,32,"Non-binary","Bachelor's Degree","Good","No"
999,18,"Female","Associate Degree","Good","No"
1000,26,"Male","Bachelor's Degree","Terrible","Yes"
1001,63,"Female","Graduate Degree","Excellent","Yes"
1002,62,"Female","High School","Good","No"
1003,23,"Female","Associate Degree","Okay","No"
1004,44,"Male","Associate Degree","Okay","Yes"
1005,41,"Non-binary","Associate Degree","Bad","No"
1006,18,"Non-binary","Bachelor's Degree","Excellent","No"
1007,56,"Male","High School","Good","No"
1008,18,"Non-binary","Bachelor's Degree","Okay","Yes"
1009,18,"Female","Associate Degree","Okay","No"
1010,60,"Male","High School","Okay","Yes"
1011,29,"Non-binary","Bachelor's Degree","Okay","Yes"
1012,36,"Male","Bachelor's Degree","Excellent","No"
1013,18,"Male","High School","Bad","Yes"
1014,18,"Non-binary","Associate Degree","Okay","No"
1015,47,"Male","Graduate Degree","Terrible","Yes"
1016,37,"Female","Bachelor's Degree","Excellent","Yes"
1017,28,"Female","Graduate Degree","Okay","No"
1018,18,"Female","Associate Degree","Terrible","Yes"
1019,18,"Female","Bachelor's Degree","Good","Yes"
1020,80,"Male","Associate Degree","Okay","No"
1021,33,"Male","High School","Terrible","No"
1022,55,"Non-binary","Graduate Degree","Good","Yes"
1023,56,"Female","Bachelor's Degree","Okay","No"
1024,55,"Male","Bachelor's Degree","Good","Yes"
1025,46,"Male","Graduate Degree","Okay","Yes"
1026,18,"Male","Graduate Degree","Okay","No"
1027,20,"Male","Bachelor's Degree","Bad","Yes"
1028,55,"Female","Bachelor's Degree","Okay","No"
1029,18,"Male","Associate Degree","Okay","No"
1030,51,"Non-binary","High School","Bad","No"
1031,29,"Non-binary","High School","Okay","No"
1032,32,"Female","Graduate Degree","Good","No"
1033,24,"Female","Graduate Degree","Okay","Yes"
1034,35,"Female","Bachelor's Degree","Terrible","No"
1035,58,"Male","Associate Degree","Bad","Yes"
1036,49,"Female","Bachelor's Degree","Okay","No"
1037,35,"Female","Graduate Degree","Bad","No"
1038,57,"Male","Graduate Degree","Excellent","No"
1039,73,"Male","Associate Degree","Bad","No"
1040,40,"Male","Bachelor's Degree","Okay","Yes"
1041,49,"Male","Bachelor's Degree","Bad","No"
1042,46,"Non-binary","Bachelor's Degree","Okay","No"
1043,20,"Female","High School","Bad","Yes"
1044,21,"Male","Bachelor's Degree","Good","No"
1045,78,"Male","Bachelor's Degree","Good","No"
1046,58,"Female","Associate Degree","Good","Yes"
1047,55,"Female","Graduate Degree","Terrible","No"
1048,43,"Male","Graduate Degree","Good","Yes"
1049,50,"Male","Associate Degree","Bad","No"
1050,43,"Non-binary","Bachelor's Degree","Okay","No"
1051,41,"Non-binary","Graduate Degree","Good","No"
1052,44,"Male","High School","Okay","Yes"
1053,20,"Non-binary","Bachelor's Degree","Excellent","No"
1054,80,"Male","Associate Degree","Excellent","No"
1055,56,"Non-binary","Graduate Degree","Good","Yes"
1056,35,"Female","Associate Degree","Terrible","No"
1057,64,"Male","Graduate Degree","Bad","No"
1058,27,"Male","Associate Degree","Okay","Yes"
1059,74,"Female","Associate Degree","Excellent","Yes"
1060,32,"Male","Bachelor's Degree","Bad","Yes"
1061,18,"Male","Bachelor's Degree","Terrible","Yes"
1062,67,"Male","Associate Degree","Okay","Yes"
1063,63,"Female","Bachelor's Degree","Excellent","No"
1064,25,"Female","Bachelor's Degree","Okay","No"
1065,18,"Female","Bachelor's Degree","Bad","No"
1066,18,"Female","Graduate Degree","Excellent","Yes"
1067,35,"Non-binary","Graduate Degree","Okay","No"
1068,18,"Male","Graduate Degree","Okay","Yes"
1069,24,"Female","Bachelor's Degree","Okay","Yes"
1070,43,"Female","High School","Bad","Yes"
1071,57,"Female","Bachelor's Degree","Bad","No"
1072,24,"Female","Associate Degree","Okay","Yes"
1073,38,"Female","Bachelor's Degree","Terrible","Yes"
1074,45,"Non-binary","High School","Good","No"
1075,74,"Female","Associate Degree","Okay","No"
1076,21,"Non-binary","Bachelor's Degree","Bad","Yes"
1077,18,"Non-binary","High School","Excellent","No"
1078,18,"Female","Associate Degree","Okay","No"
1079,51,"Non-binary","Associate Degree","Okay","Yes"
1080,39,"Female","Associate Degree","Good","No"
1081,55,"Female","Associate Degree","Terrible","No"
1082,37,"Female","High School","Good","No"
1083,48,"Non-binary","Bachelor's Degree","Bad","No"
1084,44,"Female","Associate Degree","Good","Yes"
1085,40,"Male","Graduate Degree","Good","No"
1086,28,"Female","High School","Bad","No"
1087,65,"Male","Associate Degree","Bad","No"
1088,32,"Female","High School","Okay","No"
1089,53,"Female","Bachelor's Degree","Okay","Yes"
1090,43,"Non-binary","Bachelor's Degree","Good","Yes"
1091,76,"Female","Bachelor's Degree","Bad","No"
1092,54,"Male","Associate Degree","Good","No"
1093,33,"Male","Associate Degree","Terrible","No"
1094,40,"Male","Graduate Degree","Terrible","No"
1095,37,"Male","Associate Degree","Excellent","Yes"
1096,18,"Male","Bachelor's Degree","Bad","No"
1097,74,"Male","Bachelor's Degree","Good","Yes"
1098,61,"Male","Bachelor's Degree","Okay","No"
1099,25,"Male","Associate Degree","Terrible","Yes"
1100,48,"Male","Associate Degree","Okay","Yes"
1101,45,"Female","High School","Okay","Yes"
1102,18,"Male","Graduate Degree","Bad","Yes"
1103,70,"Female","Associate Degree","Okay","Yes"
1104,35,"Male","Bachelor's Degree","Okay","No"
1105,44,"Female","High School","Terrible","Yes"
1106,48,"Male","Graduate Degree","Good","No"
1107,20,"Non-binary","Graduate Degree","Bad","No"
1108,18,"Non-binary","Associate Degree","Okay","Yes"
1109,39,"Female","High School","Good","Yes"
1110,52,"Male","Bachelor's Degree","Okay","Yes"
1111,41,"Non-binary","Graduate Degree","Good","Yes"
1112,54,"Female","High School","Bad","No"
1113,47,"Male","High School","Okay","Yes"
1114,51,"Non-binary","Associate Degree","Excellent","Yes"
1115,18,"Female","Bachelor's Degree","Terrible","Yes"
1116,54,"Male","Associate Degree","Bad","Yes"
1117,24,"Male","Bachelor's Degree","Bad","No"
1118,31,"Female","Bachelor's Degree","Okay","No"
1119,38,"Non-binary","Bachelor's Degree","Bad","No"
1120,18,"Female","Associate Degree","Excellent","Yes"
1121,38,"Female","Bachelor's Degree","Okay","No"
1122,31,"Non-binary","Bachelor's Degree","Bad","Yes"
1123,26,"Male","Bachelor's Degree","Good","Yes"
1124,29,"Male","Associate Degree","Bad","Yes"
1125,65,"Female","Graduate Degree","Terrible","No"
1126,18,"Male","Graduate Degree","Terrible","No"
1127,36,"Non-binary","Associate Degree","Good","No"
1128,18,"Male","Bachelor's Degree","Okay","Yes"
1129,27,"Female","Associate Degree","Good","No"
1130,30,"Male","Bachelor's Degree","Good","Yes"
1131,71,"Female","Bachelor's Degree","Okay","No"
1132,21,"Non-binary","Associate Degree","Terrible","No"
1133,23,"Male","Graduate Degree","Bad","No"
1134,18,"Male","Graduate Degree","Okay","Yes"
1135,44,"Male","Bachelor's Degree","Good","Yes"
1136,63,"Male","Bachelor's Degree","Terrible","Yes"
1137,18,"Male","Associate Degree","Good","Yes"
1138,31,"Male","Bachelor's Degree","Good","Yes"
1139,67,"Female","Bachelor's Degree","Good","Yes"
1140,26,"Non-binary","Associate Degree","Excellent","Yes"
1141,54,"Female","Graduate Degree","Bad","No"
1142,48,"Non-binary","Associate Degree","Good","Yes"
1143,18,"Female","Graduate Degree","Terrible","No"
1144,64,"Non-binary","Bachelor's Degree","Excellent","No"
1145,56,"Male","Bachelor's Degree","Excellent","No"
1146,30,"Female","Bachelor's Degree","Bad","Yes"
1147,22,"Male","Bachelor's Degree","Good","Yes"
1148,32,"Female","High School","Okay","Yes"
1149,56,"Female","Graduate Degree","Terrible","Yes"
1150,29,"Non-binary","Associate Degree","Terrible","No"
1151,18,"Male","Bachelor's Degree","Okay","Yes"
1152,37,"Female","High School","Okay","Yes"
1153,55,"Female","High School","Good","No"
1154,18,"Female","Associate Degree","Excellent","Yes"
1155,35,"Male","Graduate Degree","Bad","Yes"
1156,18,"Female","Bachelor's Degree","Okay","Yes"
1157,42,"Non-binary","Bachelor's Degree","Excellent","No"
1158,37,"Female","Bachelor's Degree","Excellent","No"
1159,39,"Female","Bachelor's Degree","Good","No"
1160,28,"Male","Bachelor's Degree","Excellent","Yes"
1161,26,"Female","Associate Degree","Good","Yes"
1162,57,"Female","Associate Degree","Bad","Yes"
1163,42,"Male","Associate Degree","Excellent","Yes"
1164,36,"Non-binary","Bachelor's Degree","Excellent","No"
1165,18,"Male","Bachelor's Degree","Excellent","No"
1166,18,"Non-binary","Associate Degree","Bad","Yes"
1167,55,"Non-binary","Associate Degree","Terrible","Yes"
1168,32,"Male","Graduate Degree","Terrible","No"
1169,18,"Non-binary","Graduate Degree","Okay","Yes"
1170,31,"Female","Graduate Degree","Okay","Yes"
1171,32,"Non-binary","Bachelor's Degree","Good","Yes"
1172,30,"Male","Associate Degree","Excellent","No"
1173,50,"Female","Graduate Degree","Okay","Yes"
1174,70,"Female","Associate Degree","Bad","No"
1175,60,"Male","High School","Okay","No"
1176,65,"Male","Associate Degree","Terrible","No"
1177,33,"Male","Graduate Degree","Okay","No"
1178,57,"Female","Bachelor's Degree","Excellent","No"
1179,20,"Male","Associate Degree","Bad","Yes"
1180,37,"Male","Bachelor's Degree","Bad","No"
1181,80,"Female","Graduate Degree","Okay","Yes"
1182,40,"Non-binary","High School","Okay","No"
1183,34,"Female","High School","Bad","No"
1184,28,"Female","High School","Good","No"
1185,55,"Female","Bachelor's Degree","Excellent","No"
1186,80,"Female","Bachelor's Degree","Good","Yes"
1187,48,"Non-binary","Graduate Degree","Excellent","No"
1188,35,"Female","Bachelor's Degree","Excellent","Yes"
1189,80,"Male","Bachelor's Degree","Good","Yes"
1190,24,"Female","Associate Degree","Good","Yes"
1191,63,"Female","Associate Degree","Okay","No"
1192,32,"Male","Bachelor's Degree","Bad","No"
1193,20,"Female","High School","Bad","No"
1194,64,"Female","Associate Degree","Good","Yes"
1195,18,"Male","Associate Degree","Okay","No"
1196,34,"Non-binary","Associate Degree","Terrible","Yes"
1197,40,"Female","Bachelor's Degree","Good","No"
1198,31,"Non-binary","High School","Okay","Yes"
1199,18,"Non-binary","High School","Excellent","Yes"
1200,27,"Female","Bachelor's Degree","Bad","No"
1201,18,"Non-binary","Bachelor's Degree","Excellent","No"
1202,78,"Non-binary","Associate Degree","Terrible","No"
1203,18,"Male","Bachelor's Degree","Okay","No"
1204,18,"Male","High School","Okay","No"
1205,54,"Male","Graduate Degree","Bad","Yes"
1206,58,"Female","High School","Terrible","Yes"
1207,36,"Non-binary","Graduate Degree","Okay","No"
1208,36,"Female","Associate Degree","Excellent","No"
1209,55,"Female","Bachelor's Degree","Okay","No"
1210,68,"Non-binary","High School","Okay","Yes"
1211,18,"Male","Associate Degree","Good","Yes"
1212,66,"Female","Bachelor's Degree","Okay","Yes"
1213,44,"Non-binary","Associate Degree","Excellent","Yes"
1214,33,"Male","Associate Degree","Okay","Yes"
1215,65,"Male","Graduate Degree","Good","Yes"
1216,59,"Female","Bachelor's Degree","Terrible","Yes"
1217,66,"Male","Bachelor's Degree","Excellent","No"
1218,34,"Female","High School","Terrible","Yes"
1219,56,"Female","Associate Degree","Excellent","No"
1220,46,"Female","Associate Degree","Okay","No"
1221,30,"Male","Bachelor's Degree","Okay","No"
1222,75,"Male","Bachelor's Degree","Okay","Yes"
1223,43,"Female","High School","Good","No"
1224,39,"Non-binary","Associate Degree","Bad","Yes"
1225,51,"Male","Graduate Degree","Good","No"
1226,48,"Female","High School","Good","Yes"
1227,26,"Female","Associate Degree","Okay","No"
1228,39,"Female","Associate Degree","Good","Yes"
1229,80,"Male","Associate Degree","Bad","Yes"
1230,39,"Female","Associate Degree","Good","Yes"
1231,34,"Non-binary","Associate Degree","Okay","Yes"
1232,55,"Female","Bachelor's Degree","Terrible","No"
1233,48,"Male","Graduate Degree","Okay","Yes"
1234,29,"Male","Bachelor's Degree","Excellent","No"
1235,18,"Non-binary","Graduate Degree","Terrible","Yes"
1236,57,"Female","High School","Terrible","No"
1237,42,"Female","Bachelor's Degree","Bad","No"
1238,50,"Female","Graduate Degree","Excellent","No"
1239,34,"Non-binary","Associate Degree","Bad","No"
1240,18,"Female","High School","Okay","No"
1241,41,"Non-binary","Associate Degree","Terrible","Yes"
1242,80,"Non-binary","Associate Degree","Okay","No"
1243,18,"Female","Graduate Degree","Okay","Yes"
1244,20,"Male","High School","Okay","No"
1245,18,"Female","High School","Okay","No"
1246,33,"Male","Graduate Degree","Excellent","No"
1247,68,"Female","Bachelor's Degree","Terrible","No"
1248,37,"Male","Associate Degree","Excellent","No"
1249,35,"Non-binary","Associate Degree","Good","No"
1250,18,"Male","Graduate Degree","Bad","Yes"
1251,41,"Male","Bachelor's Degree","Good","No"
1252,61,"Female","High School","Okay","No"
1253,80,"Female","High School","Terrible","No"
1254,66,"Female","Associate Degree","Okay","No"
1255,23,"Male","Bachelor's Degree","Good","Yes"
1256,30,"Female","Associate Degree","Okay","No"
1257,52,"Female","Associate Degree","Bad","Yes"
1258,40,"Male","Graduate Degree","Excellent","Yes"
1259,46,"Male","High School","Excellent","Yes"
1260,18,"Non-binary","Associate Degree","Excellent","No"
1261,31,"Male","Bachelor's Degree","Excellent","Yes"
1262,21,"Male","Graduate Degree","Good","No"
1263,21,"Female","Bachelor's Degree","Excellent","Yes"
1264,26,"Male","Graduate Degree","Bad","Yes"
1265,32,"Non-binary","Bachelor's Degree","Bad","No"
1266,40,"Female","Associate Degree","Terrible","No"
1267,53,"Non-binary","High School","Good","Yes"
1268,30,"Female","Graduate Degree","Bad","Yes"
1269,23,"Non-binary","Bachelor's Degree","Good","No"
1270,72,"Male","Graduate Degree","Okay","Yes"
1271,60,"Female","Bachelor's Degree","Bad","No"
1272,54,"Female","Bachelor's Degree","Bad","No"
1273,74,"Female","High School","Excellent","No"
1274,20,"Male","Associate Degree","Okay","Yes"
1275,80,"Non-binary","Associate Degree","Good","No"
1276,65,"Non-binary","Bachelor's Degree","Good","Yes"
1277,46,"Female","Graduate Degree","Okay","Yes"
1278,52,"Male","Associate Degree","Excellent","Yes"
1279,41,"Non-binary","High School","Terrible","Yes"
1280,38,"Non-binary","High School","Okay","No"
1281,18,"Female","Bachelor's Degree","Okay","Yes"
1282,55,"Female","Graduate Degree","Terrible","Yes"
1283,80,"Male","Associate Degree","Bad","No"
1284,80,"Female","Associate Degree","Terrible","Yes"
1285,43,"Non-binary","Bachelor's Degree","Good","No"
1286,38,"Male","Bachelor's Degree","Good","Yes"
1287,44,"Male","Bachelor's Degree","Excellent","Yes"
1288,63,"Non-binary","High School","Bad","No"
1289,70,"Female","High School","Terrible","No"
1290,48,"Non-binary","Associate Degree","Okay","No"
1291,62,"Male","High School","Okay","No"
1292,39,"Non-binary","Bachelor's Degree","Good","Yes"
1293,50,"Male","Associate Degree","Good","No"
1294,64,"Male","Graduate Degree","Bad","No"
1295,80,"Non-binary","Associate Degree","Bad","Yes"
1296,39,"Male","Bachelor's Degree","Okay","No"
1297,27,"Male","Bachelor's Degree","Good","Yes"
1298,49,"Male","Bachelor's Degree","Okay","Yes"
1299,32,"Male","Bachelor's Degree","Excellent","Yes"
1300,53,"Female","Bachelor's Degree","Okay","No"
1301,47,"Female","Associate Degree","Bad","Yes"
1302,66,"Male","Associate Degree","Terrible","Yes"
1303,21,"Male","High School","Terrible","No"
1304,18,"Non-binary","High School","Bad","Yes"
1305,71,"Male","Bachelor's Degree","Good","Yes"
1306,45,"Male","High School","Okay","Yes"
1307,22,"Non-binary","Associate Degree","Terrible","Yes"
1308,19,"Male","Graduate Degree","Bad","No"
1309,29,"Male","High School","Good","Yes"
1310,52,"Male","Graduate Degree","Good","Yes"
1311,29,"Female","High School","Bad","Yes"
1312,67,"Male","Associate Degree","Bad","Yes"
1313,45,"Female","Associate Degree","Bad","No"
1314,44,"Non-binary","Bachelor's Degree","Excellent","No"
1315,40,"Non-binary","Graduate Degree","Good","Yes"
1316,34,"Non-binary","Graduate Degree","Good","No"
1317,37,"Female","Graduate Degree","Bad","No"
1318,63,"Non-binary","Graduate Degree","Bad","Yes"
1319,18,"Male","High School","Good","No"
1320,62,"Non-binary","Bachelor's Degree","Terrible","Yes"
1321,33,"Non-binary","Associate Degree","Okay","No"
1322,55,"Non-binary","High School","Okay","No"
1323,39,"Male","Bachelor's Degree","Good","Yes"
1324,18,"Non-binary","Bachelor's Degree","Okay","No"
1325,47,"Female","Bachelor's Degree","Bad","Yes"
1326,27,"Male","Bachelor's Degree","Bad","Yes"
1327,62,"Non-binary","Bachelor's Degree","Good","No"
1328,23,"Non-binary","High School","Good","No"
1329,18,"Male","Graduate Degree","Bad","No"
1330,23,"Female","Graduate Degree","Bad","Yes"
1331,29,"Non-binary","High School","Bad","No"
1332,23,"Female","Associate Degree","Terrible","No"
1333,35,"Non-binary","Bachelor's Degree","Good","Yes"
1334,28,"Male","High School","Excellent","No"
1335,32,"Non-binary","High School","Good","No"
1336,47,"Female","Bachelor's Degree","Bad","No"
1337,18,"Female","Bachelor's Degree","Okay","No"
1338,55,"Female","High School","Okay","No"
1339,40,"Male","High School","Good","Yes"
1340,39,"Male","Associate Degree","Okay","Yes"
1341,18,"Female","Associate Degree","Terrible","Yes"
1342,34,"Male","High School","Okay","Yes"
1343,29,"Male","Graduate Degree","Bad","Yes"
1344,57,"Male","High School","Okay","No"
1345,68,"Female","Associate Degree","Excellent","No"
1346,65,"Non-binary","High School","Good","Yes"
1347,18,"Female","Graduate Degree","Excellent","Yes"
1348,24,"Male","Associate Degree","Terrible","Yes"
1349,38,"Female","Associate Degree","Excellent","No"
1350,19,"Female","Associate Degree","Okay","No"
1351,18,"Female","Bachelor's Degree","Okay","No"
1352,56,"Female","Associate Degree","Excellent","Yes"
1353,41,"Female","Bachelor's Degree","Okay","Yes"
1354,52,"Female","Bachelor's Degree","Excellent","Yes"
1355,18,"Non-binary","Associate Degree","Okay","No"
1356,33,"Male","High School","Okay","Yes"
1357,18,"Male","High School","Bad","Yes"
1358,23,"Female","High School","Bad","No"
1359,45,"Male","Bachelor's Degree","Okay","No"
1360,24,"Male","Graduate Degree","Bad","No"
1361,20,"Male","Associate Degree","Excellent","No"
1362,18,"Non-binary","Associate Degree","Good","Yes"
1363,18,"Male","Associate Degree","Terrible","Yes"
1364,23,"Male","Bachelor's Degree","Good","No"
1365,74,"Non-binary","Associate Degree","Okay","No"
1366,27,"Non-binary","Associate Degree","Bad","Yes"
1367,18,"Non-binary","Bachelor's Degree","Okay","Yes"
1368,18,"Male","Associate Degree","Terrible","No"
1369,37,"Male","Associate Degree","Okay","Yes"
1370,32,"Non-binary","Bachelor's Degree","Terrible","Yes"
1371,45,"Male","High School","Bad","No"
1372,34,"Female","Associate Degree","Terrible","No"
1373,57,"Male","High School","Bad","No"
1374,54,"Female","Associate Degree","Excellent","Yes"
1375,61,"Female","Graduate Degree","Excellent","Yes"
1376,45,"Non-binary","Bachelor's Degree","Terrible","No"
1377,62,"Male","Bachelor's Degree","Bad","Yes"
1378,38,"Non-binary","High School","Bad","No"
1379,59,"Female","Graduate Degree","Okay","No"
1380,37,"Female","Graduate Degree","Okay","Yes"
1381,26,"Non-binary","Associate Degree","Okay","Yes"
1382,18,"Female","Bachelor's Degree","Bad","No"
1383,26,"Female","Bachelor's Degree","Bad","Yes"
1384,25,"Non-binary","High School","Terrible","Yes"
1385,52,"Female","Graduate Degree","Good","Yes"
1386,39,"Female","Graduate Degree","Okay","No"
1387,27,"Non-binary","High School","Good","No"
1388,22,"Non-binary","High School","Good","No"
1389,70,"Non-binary","High School","Terrible","No"
1390,35,"Male","Bachelor's Degree","Good","Yes"
1391,18,"Non-binary","Associate Degree","Terrible","Yes"
1392,31,"Non-binary","High School","Good","Yes"
1393,42,"Non-binary","Associate Degree","Bad","Yes"
1394,57,"Male","Associate Degree","Bad","Yes"
1395,38,"Male","Associate Degree","Okay","No"
1396,42,"Non-binary","Graduate Degree","Okay","Yes"
1397,19,"Male","Associate Degree","Bad","Yes"
1398,56,"Female","High School","Okay","No"
1399,42,"Non-binary","Graduate Degree","Excellent","Yes"
1400,55,"Female","Bachelor's Degree","Excellent","Yes"
1401,71,"Male","Graduate Degree","Terrible","No"
1402,44,"Female","Bachelor's Degree","Bad","Yes"
1403,34,"Female","Associate Degree","Bad","Yes"
1404,25,"Non-binary","Associate Degree","Bad","Yes"
1405,28,"Male","High School","Excellent","Yes"
1406,22,"Male","Associate Degree","Excellent","No"
1407,47,"Male","Graduate Degree","Okay","No"
1408,18,"Non-binary","High School","Terrible","No"
1409,18,"Female","High School","Terrible","Yes"
1410,27,"Non-binary","Associate Degree","Excellent","No"
1411,62,"Non-binary","High School","Okay","Yes"
1412,42,"Non-binary","Bachelor's Degree","Good","No"
1413,30,"Female","High School","Okay","Yes"
1414,53,"Female","Associate Degree","Okay","No"
1415,33,"Male","Associate Degree","Okay","Yes"
1416,38,"Non-binary","Bachelor's Degree","Okay","No"
1417,41,"Female","Associate Degree","Okay","Yes"
1418,62,"Male","Associate Degree","Good","No"
1419,66,"Female","Graduate Degree","Okay","Yes"
1420,66,"Female","Graduate Degree","Excellent","Yes"
1421,60,"Male","Bachelor's Degree","Good","Yes"
1422,47,"Female","Associate Degree","Good","Yes"
1423,78,"Female","High School","Okay","Yes"
1424,80,"Non-binary","Associate Degree","Excellent","No"
1425,67,"Non-binary","Associate Degree","Okay","No"
1426,36,"Female","Associate Degree","Good","No"
1427,19,"Female","Graduate Degree","Terrible","Yes"
1428,44,"Female","High School","Okay","No"
1429,29,"Non-binary","Graduate Degree","Bad","Yes"
1430,45,"Male","Associate Degree","Bad","Yes"
1431,29,"Non-binary","Associate Degree","Excellent","No"
1432,58,"Non-binary","Bachelor's Degree","Bad","Yes"
1433,80,"Non-binary","Bachelor's Degree","Good","Yes"
1434,59,"Male","Bachelor's Degree","Okay","Yes"
1435,55,"Non-binary","Associate Degree","Okay","No"
1436,41,"Female","Graduate Degree","Bad","Yes"
1437,80,"Non-binary","Associate Degree","Okay","Yes"
1438,38,"Non-binary","Bachelor's Degree","Bad","Yes"
1439,68,"Non-binary","Bachelor's Degree","Good","Yes"
1440,72,"Male","Graduate Degree","Good","Yes"
1441,43,"Female","Associate Degree","Excellent","No"
1442,18,"Female","Associate Degree","Okay","No"
1443,33,"Male","Bachelor's Degree","Okay","No"
1444,49,"Female","Graduate Degree","Okay","No"
1445,18,"Non-binary","Bachelor's Degree","Okay","Yes"
1446,18,"Female","Associate Degree","Terrible","Yes"
1447,58,"Male","High School","Good","Yes"
1448,18,"Female","High School","Okay","Yes"
1449,45,"Non-binary","Bachelor's Degree","Good","Yes"
1450,35,"Female","Bachelor's Degree","Bad","Yes"
1451,27,"Female","Bachelor's Degree","Good","Yes"
1452,41,"Female","Associate Degree","Good","No"
1453,41,"Female","Associate Degree","Excellent","No"
1454,45,"Male","Graduate Degree","Okay","No"
1455,42,"Non-binary","Bachelor's Degree","Good","No"
1456,29,"Male","Associate Degree","Terrible","Yes"
1457,45,"Male","Bachelor's Degree","Excellent","Yes"
1458,68,"Male","Graduate Degree","Terrible","No"
1459,53,"Male","High School","Bad","No"
1460,70,"Male","High School","Good","No"
1461,35,"Non-binary","Bachelor's Degree","Terrible","No"
1462,52,"Non-binary","Bachelor's Degree","Excellent","Yes"
1463,50,"Female","Bachelor's Degree","Good","Yes"
1464,25,"Male","Graduate Degree","Okay","No"
1465,24,"Male","Bachelor's Degree","Terrible","Yes"
1466,77,"Male","Bachelor's Degree","Terrible","No"
1467,23,"Female","Bachelor's Degree","Bad","Yes"
1468,59,"Non-binary","High School","Excellent","No"
1469,35,"Male","High School","Bad","No"
1470,18,"Female","Associate Degree","Okay","No"
1471,18,"Non-binary","Bachelor's Degree","Excellent","No"
1472,18,"Non-binary","High School","Good","No"
1473,18,"Female","High School","Okay","No"
1474,22,"Male","Associate Degree","Excellent","No"
1475,59,"Male","Associate Degree","Bad","No"
1476,28,"Male","Associate Degree","Good","Yes"
1477,75,"Non-binary","High School","Bad","Yes"
1478,37,"Non-binary","Graduate Degree","Good","No"
1479,21,"Female","Associate Degree","Bad","No"
1480,34,"Non-binary","Associate Degree","Good","No"
1481,28,"Male","High School","Bad","No"
1482,31,"Non-binary","Associate Degree","Good","Yes"
1483,41,"Male","High School","Okay","Yes"
1484,42,"Non-binary","Bachelor's Degree","Okay","Yes"
1485,55,"Female","Associate Degree","Okay","No"
1486,51,"Female","Associate Degree","Bad","No"
1487,56,"Male","Bachelor's Degree","Good","No"
1488,43,"Non-binary","Associate Degree","Terrible","Yes"
1489,24,"Female","Associate Degree","Bad","No"
1490,49,"Non-binary","Graduate Degree","Good","No"
1491,48,"Male","High School","Bad","No"
1492,32,"Female","Associate Degree","Terrible","No"
1493,32,"Male","Associate Degree","Good","Yes"
1494,62,"Male","Bachelor's Degree","Excellent","No"
1495,67,"Female","Bachelor's Degree","Okay","Yes"
1496,42,"Male","High School","Good","No"
1497,32,"Male","Graduate Degree","Bad","Yes"
1498,73,"Non-binary","Bachelor's Degree","Terrible","Yes"
1499,18,"Female","High School","Terrible","Yes"
1500,22,"Male","Associate Degree","Good","Yes"
